gameId,name,value
175,Platform,Nintendo 3DS
175,Genre,Action
175,Developer,Project Aces
175,Publisher,Namco Bandai Games
175,Alias,Ace Combat: Assault Horizon Legacy +
176,Platform,PlayStation Portable
176,Genre,Arcade
176,Genre,Combat Flight Simulator
176,Developer,Access Games
176,Publisher,Namco Bandai Games
176,Alias,Ace Combat X2: Joint Assault
177,Genre,Simulation
177,Developer,Artech Digital Entertainment
177,Publisher,Accolade
177,Publisher,U.S. Gold
178,Platform,PC
178,Genre,First-Person
178,Genre,Sandbox
178,Genre,Shooter
178,Developer,Jagex Games Studio
178,Publisher,Jagex Games Studio
179,Genre,Flight Simulation
179,Developer,Dynamix
179,Publisher,Sierra Entertainment
180,Platform,Browser
180,Platform,PC
180,Genre,Side
180,Genre,Platform
180,Developer,jmtb02
180,Publisher,Armor Games
181,Platform,PC
181,Genre,Real-Time
181,Genre,Strategy
181,Developer,Hazardous Software
181,Publisher,Hazardous Software
182,Platform,PC
182,Developer,Graviteam
182,Publisher,NA: Paradox Interactive. EU: Mamba Games
183,Platform,Atari 2600
183,Genre,Puzzle
183,Developer,Dennis Kiss
183,Publisher,Salu
184,Platform,PC
184,Genre,Trivia
184,Developer,Berkeley Systems
184,Publisher,Berkeley Systems
185,Platform,Mobile
185,Genre,Role-Playing
185,Developer,FDG Entertainment
185,Publisher,FDG Entertainment
186,Platform,PC
186,Genre,Real-Time
186,Genre,Strategy
186,Developer,Eugen Systems
186,Publisher,Atari
187,Platform,PlayStation
187,Genre,Sports
187,Publisher,Take-Two Interactive
188,Platform,Amstrad CPC
188,Platform,Sega Master System
188,Genre,Racing/Driving
188,Genre,Shooter
188,Developer,Sega
188,Publisher,Sega
189,Platform,PC
189,Genre,Action
189,Developer,Intelligent Games
189,Developer,Ltd.
189,Publisher,Hasbro Interactive
189,Publisher,Inc.
190,Genre,Compilation
190,Developer,Digital Eclipse
190,Publisher,Activision
191,Platform,Super Nintendo
191,Genre,Action
191,Genre,City-Building
191,Genre,Simulation
191,Developer,Quintet
191,Publisher,Enix
191,Publisher,Square Enix
193,Platform,PC
193,Platform,PlayStation
193,Genre,Sports
193,Developer,Gremlin Interactive
193,Publisher,Gremlin Interactive
193,Publisher,Interplay Productions
193,Alias,VR Soccer
192,Platform, Super Nintendo
192,Genre,Platform
192,Developer,Quintet
192,Publisher,EU: Ubisoft
192,Publisher,JP/NA: Enix
194,Platform,PlayStation
194,Genre,Sports
194,Developer,Gremlin Interactive
194,Publisher,Gremlin Interactive
197,Platform,Browser
197,Platform,PC
197,Genre,Text
197,Genre,Visual Novel
197,Developer,17
197,Publisher,17
196,Platform,PC
196,Platform,PlayStation Vita
196,Genre,Adventure
196,Developer,Will O'Neill
196,Publisher,Will O'Neill
198,Platform,PC
198,Genre,Third-Person
198,Genre,Real-Time
198,Genre,Action
198,Genre,Adventure
198,Developer,Vertigo Digital Entertainment
198,Publisher,Iceberg Interactive
199,Platform,PC
199,Platform,PlayStation 3
199,Genre,Adventure
199,Developer,Vertigo Digital Entertainment
199,Publisher,Iceberg Interactive
200,Platform,PC
200,Platform,PlayStation 3
200,Genre,Adventure
200,Developer,Vertigo Games
200,Publisher,Iceberg Interactive
201,Platform,Sega Mega Drive/Genesis
201,Platform,Super Nintendo
201,Genre,Top-Down
201,Genre,Action
201,Genre,Role-Playing
201,Developer,Ocean Software
201,Publisher,Ocean Software
202,Genre,Sports
202,Genre,Racing/Driving
202,Developer,8-4
202,Developer,Genki Co
202,Publisher,Konami Corporation
202,Alias,Crossboard 7
203,Platform,Game Boy Advance
203,Genre,Fighting Action
203,Developer,Treasure
203,Publisher,Treasure
203,Publisher,Ubisoft
204,Platform,Game Boy Advance
204,Genre,Top-Down
204,Genre,Turn-Based
204,Genre,Strategy/Tactical
204,Developer,Intelligent Systems
204,Publisher,Nintendo
206,Platform,Nintendo 3DS
206,Platform,Nintendo DS
206,Genre,Turn-Based
206,Genre,Tactical
206,Developer,Intelligent Systems
206,Publisher,Nintendo
205,Platform,Game Boy Advance
205,Genre,Top-Down
205,Genre,Turn-Based
205,Genre,Strategy/Tactical
205,Developer,Intelligent Systems
205,Publisher,Nintendo
207,Platform,Nintendo DS
207,Genre,Turn-Based
207,Developer,Intelligent Systems
207,Publisher,Nintendo
208,Platform,NES
208,Platform,PC
208,Platform,Sega Master System
208,Genre,Role-Playing
208,Developer,U.S. Gold
208,Publisher,Strategic Simulations
208,Publisher,U.S. Gold
208,Publisher,Pony Canyon
209,Platform,3DO
209,Genre,Action
209,Genre,Role-Playing
209,Developer,Lion Entertainment
209,Publisher,Strategic Designs
210,Platform,PC
210,Platform,Xbox
210,Genre,Third-person
210,Genre,action-adventure
210,Developer,GlyphX Games
210,Developer,Demiurge Studios
210,Publisher,Majesco
211,Platform,Atari 2600
211,Genre,Action
211,Genre,Adventure
211,Developer,Atari
211,Publisher,Atari
211,Alias,Adventure (Atari 2600)
212,Platform,PC
212,Genre,Platform
212,Developer,ScaryPatato
212,Publisher,ScaryPatato
213,Genre,Simulation
213,Developer,Rideon Japan
213,Publisher,Rideon Japan; CIRCLE Entertainment
214,Platform,Game Boy
214,Platform,Game Boy Advance
214,Platform,Mobile
214,Platform,MSX
214,Platform,NES
214,Genre,Platform
214,Developer,Hudson Soft
214,Publisher,Hudson Soft
214,Alias,Hudson's Adventure Island
214,Alias,Takahashi Meijin no Bōken Jima
215,Platform,Game Boy
215,Platform,NES
215,Genre,Platform
215,Developer,Hudson Soft
215,Publisher,Hudson Soft
215,Alias,Adventure Island
215,Alias,Takahashi Meijin no Bouken Jima II
216,Platform,NES
216,Genre,Platform
216,Developer,Hudson Soft
216,Publisher,Hudson Soft
216,Alias,Adventure Island II: Aliens in Paradise
216,Alias,Takahashi Meijin no Bouken Jima III
217,Platform,Wii
217,Genre,Platform
217,Developer,Hudson Soft
217,Publisher,Hudson Soft
219,Platform,Nintendo 3DS
219,Platform,Nintendo DS
219,Genre,Adventure
219,Developer,WayForward Technologies
219,Publisher,D3 Publisher
220,Platform,NES
220,Genre,Action
220,Developer,Capcom
220,Publisher,Capcom
223,Platform,NES
223,Genre,Action
223,Genre,Puzzle
223,Developer,HAL Laboratory
223,Publisher,HAL America
222,Platform,NES
222,Genre,Scrolling
222,Genre,Shooter
222,Developer,Hudson Soft
222,Publisher,Hudson Soft
224,Platform,NES
224,Platform,Wii
224,Genre,Puzzle
224,Developer,HAL Laboratory
224,Publisher,HAL Laboratory
225,Platform,NES
225,Genre,Platform
225,Developer,HAL Laboratory
225,Publisher,HAL Laboratory
229,Genre,Action
229,Developer,APh Technological Consulting
229,Publisher,Mattel Electronics
230,Genre,Action
230,Genre,Adventure
230,Developer,Solutions 2 Go
230,Publisher,Natsume
231,Platform,PlayStation Portable
231,Genre,Turn-Based
231,Genre,Strategy/Tactical
231,Developer,Idea Factory
231,Publisher,Idea Factory
231,Publisher,Nippon Ichi Software
231,Publisher,Ghostlight
232,Platform,Xbox 360
232,Genre,Scrolling
232,Genre,Shooter
232,Developer,Microsoft/Carbonated Games
232,Publisher,Microsoft Game Studios
233,Platform,Mobile
233,Genre,Role-Playing
233,Publisher,Kemco
234,Platform,PC
234,Genre,Strategy
234,Developer,Bat Country Games
234,Publisher,Bat Country Games
235,Platform,PlayStation 2
235,Platform,Xbox
235,Genre,Action
235,Genre,Adventure
235,Developer,Terminal Reality
235,Publisher,Majesco Games
236,Platform,Arcade
236,Platform, Super Nintendo
236,Genre,Shooter
236,Developer,Video System
237,Platform,Arcade
237,Platform,Neo Geo
237,Platform,Neo Geo CD
237,Platform,Nintendo Switch
237,Platform,Super Nintendo
237,Genre,Shooter
237,Developer,Video System
237,Publisher,Video System
237,Alias,Sonic Wings 2
238,Platform,Arcade
238,Platform,Neo Geo
238,Platform,Neo Geo CD
238,Platform,Nintendo Switch
238,Platform,PlayStation 4
238,Genre,Top-Down
238,Genre,Scrolling
238,Genre,Action
238,Genre,Shooter
238,Developer,Video System
238,Publisher,Video System
238,Alias,Sonic Wings 3
239,Platform,Nintendo 64
239,Genre,Simulation
239,Developer,Paradigm Entertainment
239,Publisher,Video System
239,Alias,Sonic Wings Assault
241,Platform,Nintendo 3DS
241,Genre,Puzzle
241,Publisher,Level-5
242,Genre,Platform
242,Developer,Iguana Entertainment
242,Developer,Atomic Planet
242,Publisher,Sunsoft
242,Publisher,Metro 3D/Zoo Digital
242,Alias,Acrobat Kid
242,Alias,Aero The Acro-Bat: Rascal Rival Revenge
243,Genre,Platform
243,Developer,Iguana Entertainment
243,Publisher,Sunsoft
244,Genre,Third-Person
244,Genre,Top-Down
244,Genre,Simulation
244,Developer,KOEI Co.
244,Publisher,KOEI Co.
244,Alias,Air Management: Oozora ni Kakeru
245,Platform,Sega Mega Drive/Genesis
245,Platform,Super Nintendo
245,Genre,Simulation
245,Developer,Koei
245,Publisher,Koei
245,Alias,Air Management II: Koukuu Ou wo Mezase
247,Platform,Browser
247,Platform,PC
247,Genre,Adventure
247,Developer,Edmund McMillen
247,Developer,Tyler Glaiel
247,Publisher,Edmund McMillen
248,Platform,PC
248,Genre,Survival Horror
249,Platform,PlayStation 3
249,Genre,Simulation
249,Developer,Rhino Studios
249,Publisher,Natsume
249,Alias,Hakuna Matata
250,Platform,PlayStation 3
250,Platform,Xbox 360
250,Genre,Action
250,Developer,Namco Bandai Games
250,Publisher,Surge
251,Platform,Sega CD
251,Genre,Turn-Based
251,Genre,Role-Playing
251,Developer,Pandora Box
251,Publisher,Sega
251,Alias,After Armageddon Gaiden: Majuu Toushouden Eclipse
252,Platform,Arcade
252,Platform,NES
252,Platform,Sega 32X
252,Platform,Sega Master System
252,Platform,ZX Spectrum
252,Genre,Flight
252,Genre,Simulation
252,Developer,Sega AM-2
252,Publisher,Sega
253,Platform,Arcade
253,Platform,Mobile
253,Platform,PlayStation 3
253,Platform,Xbox 360
253,Genre,Arcade/Shoot 'em up
