gameId,region,date
641,EU,2012-11-02
641,JP,2012-11-02
642,NA,2007-01-26
642,EU,2007-01-26
643,NA,2009-01-01
644,NA,2011-11-13
646,NA,2012-06-21
647,NA,2004-11-15
648,NA,2005-11-30
648,EU,2006-11-24
649,NA,2007-11-13
649,EU,2007-11-16
651,NA,2009-11-17
651,EU,2010-03-09
652,NA,2010-01-28
652,EU,2010-01-28
653,NA,2010-02-18
653,EU,2010-02-18
654,NA,2009-11-17
654,EU,2009-11-20
655,NA,2012-10-30
655,EU,2012-10-31
656,NA,2012-10-30
656,EU,2012-10-31
657,NA,2012-10-30
657,EU,2012-10-31
658,NA,2013-02-20
659,NA,2008-02-05
660,NA,2009-11-17
660,EU,2009-11-20
660,JP,2009-12-23
661,NA,2010-11-16
661,EU,2010-11-19
662,NA,2010-11-16
662,EU,2010-11-19
663,NA,2011-03-08
663,EU,2011-03-08
664,NA,2011-11-15
664,EU,2011-11-15
665,NA,2012-02-28
667,NA,2006-12-13
667,EU,2006-12-13
668,NA,2008-05-14
668,EU,2008-05-14
669,NA,1996-01-01
670,NA,1998-10-31
670,EU,1998-09-01
671,NA,1995-04-27
671,JP,1995-04-28
672,EU,1993-01-01
674,NA,1993-01-01
674,EU,1993-01-01
675,NA,2007-11-09
676,NA,1979-11-01
677,NA,2006-06-27
677,EU,2006-06-30
677,JP,2006-09-28
678,NA,2008-01-01
679,NA,2004-08-04
679,EU,2005-02-11
680,NA,2004-08-18
680,EU,2005-02-18
680,JP,2003-12-18
681,NA,2009-03-12
681,EU,2008-12-11
682,NA,1986-12-01
682,EU,1987-10-01
682,JP,1986-12-14
683,NA,1981-01-01
683,EU,1982-01-01
684,JP,1998-08-27
686,NA,2011-01-27
685,NA,2004-04-06
688,NA,2012-02-21
688,EU,2012-02-24
688,JP,2012-02-22
689,NA,2012-03-27
690,NA,2012-04-03
691,EU,2012-04-24
692,EU,2012-05-08
693,EU,2012-05-15
694,NA,1981-02-01
695,NA,2004-11-16
696,NA,2007-01-01
697,NA,2003-11-11
698,NA,2009-10-27
698,JP,2009-03-12
699,NA,2013-03-05
699,EU,2013-03-08
699,JP,2012-06-28
700,NA,2006-04-25
700,EU,2006-09-29
700,JP,2005-05-26
701,NA,2007-05-29
701,EU,2007-07-27
701,JP,2006-06-29
702,NA,2005-06-28
702,EU,2006-03-17
702,JP,2004-05-27
705,NA,2012-05-29
705,EU,2012-05-25
705,JP,2011-06-23
706,NA,2010-09-28
706,EU,2010-10-22
706,JP,2009-06-25
707,NA,2011-09-27
707,EU,2011-09-30
707,JP,2010-06-24
708,NA,1986-01-01
709,NA,1997-09-30
710,NA,2011-03-14
710,EU,2011-03-14
711,NA,2005-10-25
711,EU,2005-08-25
713,NA,1991-05-05
712,NA,1997-07-31
712,EU,1997-01-01
714,NA,1988-01-01
714,JP,1988-01-01
715,NA,1996-03-01
715,EU,1995-12-25
716,NA,2001-02-05
717,NA,2002-11-09
717,EU,2003-10-03
718,NA,2004-11-02
719,NA,2006-10-31
721,NA,2003-01-27
722,NA,2000-08-23
722,EU,2000-10-13
722,JP,2000-12-21
723,NA,2008-02-15
723,EU,2008-02-15
724,NA,2009-01-30
724,EU,2009-01-30
725,NA,2010-11-23
725,EU,2010-11-23
726,NA,2010-02-22
726,EU,2010-10-01
726,JP,2010-11-10
727,NA,2004-06-29
729,NA,2006-05-23
729,EU,2005-08-05
728,NA,2011-01-01
730,NA,2002-10-25
730,EU,2002-10-25
731,NA,2003-03-25
731,EU,2002-12-06
731,JP,2002-08-22
733,NA,1997-11-30
733,EU,1997-12-01
732,NA,1985-01-01
736,NA,2011-02-28
737,NA,2009-03-10
737,EU,2010-03-12
737,JP,2008-11-01
738,NA,2009-09-03
740,NA,2010-02-24
741,NA,2006-10-10
741,EU,2007-02-09
742,NA,2007-10-16
742,EU,2007-10-26
744,NA,2007-10-30
745,NA,2000-06-14
747,NA,2006-03-02
748,NA,2007-11-12
749,NA,2009-01-01
750,NA,2011-12-01
751,NA,1989-01-01
753,NA,2008-10-30
753,EU,2009-04-10
753,JP,2008-10-16
752,NA,2012-08-23
755,NA,1993-11-25
756,NA,2012-05-02
757,NA,1991-01-01
757,EU,1991-01-01
757,JP,1991-01-01
758,NA,2009-10-14
758,EU,2009-10-14
759,NA,1992-09-01
759,EU,1993-09-30
759,JP,1992-09-11
760,NA,1992-07-16
760,EU,1992-01-01
760,JP,1992-07-17
763,NA,1996-01-01
764,NA,2009-05-01
766,NA,1988-03-01
766,EU,1988-01-01
766,JP,1987-09-20
767,NA,1998-06-30
768,NA,2001-11-25
768,EU,2002-05-17
769,NA,2000-01-01
771,NA,1993-06-01
771,JP,1993-12-22
773,NA,2009-12-21
774,NA,1989-09-01
775,NA,1990-04-08
776,NA,1990-09-01
777,NA,1991-01-01
778,NA,2010-12-22
779,NA,2011-03-28
780,NA,2011-04-29
781,NA,2011-02-16
782,NA,2010-12-22
782,EU,2010-12-23
784,NA,2011-06-29
784,EU,2011-06-29
783,NA,2011-06-23
783,EU,2011-06-23
785,NA,2002-05-30
786,NA,2000-05-19
787,NA,2007-10-02
788,NA,2001-09-28
788,EU,2001-11-23
789,NA,2004-11-16
789,EU,2004-11-19
789,JP,2005-04-07
790,NA,2003-10-07
790,EU,2003-11-07
790,JP,2004-04-15
791,NA,2006-09-06
791,EU,2006-11-24
793,NA,1996-02-29
794,NA,1990-01-01
794,JP,1989-12-15
795,NA,2012-09-27
795,EU,2012-09-27
795,JP,2012-09-27
797,NA,2009-07-20
798,NA,1987-01-01
799,NA,2011-10-15
801,JP,1996-02-09
802,JP,2012-08-23
803,NA,1995-01-01
804,NA,2009-10-20
804,EU,2009-10-23
806,NA,1985-09-01
808,NA,1998-11-30
809,NA,2013-11-15
810,NA,2000-09-24
811,NA,2001-06-21
814,NA,2012-11-28
812,NA,2001-12-02
812,EU,2001-12-14
812,JP,2002-09-26
813,NA,2004-01-20
815,NA,1999-04-30
816,NA,2000-01-01
818,EU,2007-12-14
818,JP,2006-05-19
819,NA,2006-10-25
819,EU,2004-04-02
820,NA,1999-11-01
820,EU,2000-10-20
820,JP,1998-01-01
822,NA,1986-06-18
822,EU,1987-03-12
822,JP,1985-01-22
823,NA,1990-10-05
823,EU,1991-01-31
823,JP,2000-07-31
824,NA,1997-12-12
825,NA,1994-01-01
