gameId,gameName,playCount,backlogCount,replayCount,retiredPercentage,rating,completedCount
59849,Arcana Heart 3 LOVEMAX SIXSTARS!!!!!!,2,68,1,6.0,75.0,10
59850,EONIA,0,12,1,7.7,0.0,0
59852,The Elder Scrolls Travels: Oblivion,0,2,0,33.3,40.0,4
59851,The Elder Scrolls Travels: Dawnstar,0,2,0,40.0,30.0,1
59853,The Elder Scrolls IV: Oblivion Mobile,0,0,0,0.0,20.0,1
59854,Repentant,2,4,0,0.0,78.0,9
59855,Shining Song Starnova,1,62,1,4.8,80.0,17
59856,Tabaluga-Suche nach den Zeitkristallen,0,0,0,0.0,50.0,1
59858,Yu-Gi-Oh! Duel Generation,0,0,0,0.0,80.0,1
59857,Despicable Me: Minion Rush,1,5,3,40.0,60.0,19
59859,Yoo Ninja Plus,0,0,0,0.0,50.0,1
59860,Своя игра,0,0,0,0.0,100.0,1
59861,Atari Anniversary Edition,0,13,1,13.3,80.0,0
59862,Half-Life: Echoes,0,10,0,6.5,87.0,19
59863,Super Chinese 2,0,1,0,0.0,0.0,0
59864,Super Chinese 3,0,1,0,50.0,0.0,0
59865,Fairly Nude,0,1,0,0.0,0.0,1
59866,Paddington Adventures in London,0,0,0,0.0,0.0,1
59867,Ghost Recon Wildlands Ghost War Open Beta,0,16,0,10.5,0.0,1
59868,The Persistence,3,392,3,8.4,76.0,31
59869,Klepto,0,2,0,33.3,0.0,0
59870,Меченосец,0,0,0,0.0,0.0,1
59871,Siralim 3,3,167,1,6.2,78.0,15
59872,King or Pawn (Puzzle game),0,0,0,0.0,50.0,1
59873,Counter-Strike 1.5,0,0,0,0.0,30.0,1
59874,Anime Fight in the Arena of Death,0,1,0,0.0,20.0,3
59875,Troubleshooter: Abandoned Children,12,517,3,4.9,82.0,46
59876,Durak!,0,0,0,0.0,0.0,0
59877,Epic Flail,0,0,0,0.0,0.0,1
59879,Phantom Halls,0,4,0,0.0,0.0,0
59878,Nano Project,0,1,0,0.0,0.0,0
59880,Age of Wonders: Planetfall,18,2400,11,3.9,64.0,75
59881,Pottery Crafts: Hand-Made Simulator,0,5,0,0.0,0.0,2
59882,From The Sky: New Horizon,0,2,0,0.0,50.0,2
59883,MX Nitro,0,1,0,0.0,0.0,0
59884,Ethnic Cleansing,0,0,0,100.0,20.0,0
59885,South Park: The Fractured but Whole - Bring the Crunch DLC,0,0,0,0.0,0.0,1
59886,Tetra's Escape,0,8,0,3.2,57.0,22
59887,Minion Forest,0,1,0,0.0,0.0,0
59888,MineSweeper VR,0,8,0,0.0,0.0,0
59889,Verlies Origins,0,1,0,0.0,0.0,0
59890,Astral Towers,0,4,0,0.0,0.0,0
59891,Cave Brawlers,0,5,0,0.0,0.0,0
59892,Outer Rim,0,2,0,33.3,0.0,0
59893,Project Freeze,0,1,0,0.0,0.0,0
59894,Monster RPG 1,0,1,0,0.0,0.0,0
59896,Bishoujo Mangekyou -Norowareshi Densetsu no Shoujo-,1,5,0,0.0,68.0,11
59895,Hotel Transylvania 3: Monsters Overboard,1,53,0,1.4,51.0,16
59897,DS[daemon slave]04 Namaiki Akuma Shimai Kousoku Choukyou,0,0,0,0.0,0.0,1
59898,Idol Mahou Shoujo Chiruchiru ☆ Michiru,0,0,0,0.0,0.0,1
59899,Higanbana no Saku Yoru ni - The Second Night,0,0,0,0.0,0.0,1
59900,Kangoku Academia,0,0,0,0.0,0.0,1
59901,Natsuiro Mikan ~Ecchi na Shoujo to Shitataru Nioi~,0,0,0,0.0,0.0,1
59902,Negaeba Kitto...,0,0,0,0.0,0.0,1
59903,Plastic Memories (Yotube. Event + endings),0,0,0,0.0,0.0,1
59904,Sisters ~Natsu no Saigo no Hi~,0,0,0,0.0,0.0,1
59905,"Tsumairo Shoujo ~Fuufu Seikatsu, Hajimemasu~",0,0,0,0.0,0.0,1
59906,Tsumugi-sama no Hanamuko Choukyou Nikki,0,0,0,0.0,0.0,1
59907,Tsundere na Imouto,0,0,0,0.0,50.0,2
59908,Ushinawareta Mirai o Motomete,0,0,0,28.6,80.0,5
59909,Just One Color,0,1,0,50.0,0.0,0
59910,Urban Trial Playground,1,125,2,10.6,55.0,27
59911,Harpooned,0,1,0,0.0,0.0,0
59912,Front Mission 2089: Border of Madness,0,15,0,6.3,0.0,0
59913,NALOGI 2,1,22,0,0.0,35.0,13
59914,The Escapee,0,1,0,0.0,0.0,0
59915,Action Figures - Nitro Circus,0,0,0,0.0,0.0,1
59916,Airplane Sky Voyage,0,5,0,25.0,0.0,1
59917,Automobile Tycoon,0,0,0,100.0,0.0,0
59919,Crafting Tycoon,0,6,0,25.0,0.0,0
59920,Demon's Rise - Lords of Chaos,1,23,0,4.0,60.0,1
59921,EMERGENCY 4 Deluxe,2,11,0,11.8,90.0,4
59923,Epic Car Factory,2,97,1,5.4,40.0,8
59922,Egypt: Old Kingdom,2,81,0,3.5,76.0,28
59924,Forest Harvester Simulator,0,5,0,28.6,0.0,0
59925,Helicopter Flight Simulator,0,8,0,10.0,15.0,1
59926,Imperatum,0,1,0,75.0,0.0,0
59927,Imperialism: The Dark Continent,0,3,0,20.0,0.0,1
59929,LOGistICAL: Russia,0,8,0,20.0,0.0,0
59928,LOGistICAL: Caribbean,0,7,0,20.0,0.0,1
59932,Motorbike Garage Mechanic Simulator,0,7,0,11.1,0.0,1
59934,Redline Ultimate Racing,0,5,0,28.6,0.0,0
59933,Professional Farmer: American Dream,0,1,0,50.0,0.0,0
59935,Space Launch Engineer,0,8,0,11.1,0.0,0
59936,Startup Freak,0,3,0,33.3,0.0,1
59937,The Bonfire: Forsaken Lands,0,11,0,4.5,67.0,10
59938,Train Crisis,0,0,0,100.0,0.0,0
59941,Fairune Origin,0,6,1,0.0,60.0,17
59940,Bitcoin VS Brain,0,10,0,18.8,50.0,3
59942,Champions of Titan,0,6,0,30.0,0.0,1
59943,Curiosity,0,0,0,100.0,0.0,0
59945,Flameruby,0,0,0,100.0,0.0,0
59946,The Backup Files of Freddy The Robot,0,1,0,33.3,10.0,1
59947,Story of the Survivor: Prisoner,1,6,0,12.5,0.0,1
59948,Tanglewood,1,70,1,7.0,56.0,10
59949,Weird Dungeon Explorer: Run Away,0,1,0,42.9,0.0,3
59950,The Bard's Tale Trilogy,20,2100,4,2.5,70.0,32
59951,Snowy: Space Trip,0,1,0,25.0,73.0,2
59952,D.C. ~Da Capo~,0,1,0,0.0,0.0,0
59953,Uchuu Race: Astro Go! Go!,0,3,0,20.0,60.0,1
59954,Umi Tsuri Meijin Suzuki Hen,0,1,0,0.0,0.0,0
59956,Umihara Kawase (1994),0,1,0,0.0,0.0,0
59955,Umi no Nushi Tsuri,0,3,0,25.0,0.0,0
59957,Ultra Seven,0,2,0,33.3,0.0,0
59958,Ultra Baseball Jitsumeiban,0,1,0,50.0,0.0,1
59959,Ultra Baseball Jitsumeiban 3,0,1,0,66.7,0.0,0
59960,Ultra Baseball Jitsumeiban 2,0,1,0,66.7,0.0,0
59961,Ultimate Football,0,1,0,0.0,0.0,0
59962,The Walking Dead: The Final Season - Episode 1: Done Running,0,24,3,0.8,81.0,94
59963,South park the fractured but whole,0,0,0,0.0,0.0,1
59964,Kyoei Toshi,0,1,0,0.0,0.0,0
59966,FlatFatCat,0,9,0,0.0,0.0,1
59967,SpaceDweller,0,10,0,9.1,0.0,0
59969,Gaming the Real World,0,2,0,33.3,0.0,0
59971,Heart of the Woods DEMO,0,0,0,0.0,90.0,1
59970,Imperator: Rome,25,2100,15,4.0,67.0,71
59972,Rubik's Cube,0,0,0,0.0,50.0,1
59973,State of Mind,23,2500,10,2.4,69.0,337
59974,Tumble VR,0,15,2,31.0,60.0,5
59975,#Breakforcist Battle,0,3,0,0.0,60.0,3
59976,The Crypts of Anak Shaba,0,4,0,20.0,0.0,0
59977,Time in Time,0,6,0,11.1,0.0,2
59978,Shikhondo: Soul Eater,0,67,1,5.4,61.0,39
59979,Along Together,0,17,0,4.0,60.0,7
59980,Another Super Mario Bros,0,1,0,0.0,0.0,0
59981,The Walking Dead: The Final Season - Episode 2: Suffer the Children,0,16,4,1.0,79.0,82
59982,The Walking Dead: The Final Season - Episode 3: Broken Toys,0,18,4,1.0,80.0,81
59983,The Walking Dead: The Final Season - Episode 4: Take Us Back,0,22,3,1.0,84.0,81
59984,Sword Legacy: Omen,15,2300,6,2.2,62.0,59
59986,Ghost Recon Wildlands: Narco Road,0,1,0,0.0,0.0,0
59987,Ghost Recon Wildlands: Fallen Ghosts,0,1,0,0.0,0.0,0
59988,Bold Blade,0,34,0,2.1,68.0,13
59990,The Walking Dead: The Final Season - Episode 1 - Done Running,0,0,0,0.0,0.0,0
59992,Armored Warrior Iris,0,1,0,0.0,65.0,2
59993,Asphalt Legends Unite,46,273,5,25.3,66.0,54
59994,Magic the Gathering Arena,0,0,0,0.0,0.0,0
59995,"Zivot Neni Krasny 1: Prober se, Pobudo!",0,0,0,33.3,60.0,2
59996,Zivot Neni Krasny 2: Dwa,0,0,0,33.3,60.0,2
59997,"Zivot Neni Krasny 3: Doktorina, Kruta Drina",0,0,0,25.0,60.0,3
59998,Zivot Neni Krasny 4: Back To The Days,0,0,0,33.3,60.0,2
59999,Zivot Není Krasny 5: Cetnicke Humoresky,0,0,0,50.0,60.0,1
60000,Zivot Neni Krasny 666: Flaska,0,0,0,33.3,70.0,2
60001,Zivot Neni Krasny 7: Utek z Veznice Georgetown,0,0,0,50.0,60.0,1
60002,Ultima: Kyouryuu Teikoku,0,1,0,0.0,0.0,0
60003,UFO Kamen Yakisoban: Kettler no Kuroi Inbou,0,1,0,0.0,0.0,0
60004,From TV Animation - Slam Dunk: Yonkyo Taiketsu!!,0,4,0,20.0,0.0,0
60005,From TV Animation: Slam Dunk SD Heat Up!!,0,1,0,0.0,0.0,0
60006,From TV Animation: Slam Dunk 2: IH Yosen Kanzenban!!,0,1,0,0.0,0.0,0
60007,Turf Memories,0,1,0,50.0,0.0,0
60008,Turf Hero,0,1,0,50.0,0.0,0
60009,Tsuyoshi Shikkari Shinasai Taisen Puzzle-Dama,0,1,0,0.0,0.0,0
60010,Tsuri Tarou,0,1,0,50.0,0.0,0
60011,Tsuppari Oozumou: Risshin Shusse-hen,0,1,0,0.0,0.0,0
60012,Tsukikomori,0,1,0,66.7,0.0,0
60013,Tower Dream,0,1,0,50.0,0.0,0
60014,Touge Densetsu: Saisoku Battle,0,1,0,50.0,0.0,0
60015,Tottemo! Lucky Man: Lucky Cookie Roulette de Totsugeki,0,1,0,0.0,0.0,0
60016,Toride,0,1,0,50.0,0.0,0
60017,Top Management II,0,1,0,50.0,0.0,0
60018,Tokoro's Mahjong,0,1,0,50.0,0.0,0
60020,Kaniman VS Mecha Monkey,0,0,0,100.0,0.0,0
60021,Sweet Girl Adventure,0,3,0,28.6,40.0,2
60022,Care Bears - Care Quest,0,0,0,0.0,0.0,1
60023,Feast,0,3,0,0.0,0.0,1
60024,Divided Ground: Middle East Conflict 1948-1973,0,2,0,50.0,0.0,0
60025,Wet Attack: The Empire Cums Back,0,1,0,75.0,0.0,0
60026,Mahou Shoujo Lyrical Nanoha A’s Portable: The Gears of Destiny,0,1,0,0.0,0.0,0
60027,Mahou Shoujo Lyrical Nanoha A’s Portable: The Battle of Aces,0,1,0,0.0,0.0,0
60028,Hanz Puppetguns,0,1,0,50.0,0.0,0
60029,The Lonely Hermit,0,0,0,0.0,10.0,1
